id,contract_type,clause_category,clause_text,risk_level,risk_reason,saudi_legal_note,recommended_revision,related_regulation,requires_escalation,language,industry,source_type,reviewed_by_lawyer,notes,verification_status
28,Shareholder Agreement,Corporate Governance,يُحدد مجلس الإدارة سياسة توزيع الأرباح بصلاحية تقديرية كاملة ولا يلتزم بتوزيع أي أرباح على المساهمين حتى في حال تحقيق أرباح صافية موجبة.,medium,منح مجلس الإدارة صلاحية تقديرية مطلقة في حجب الأرباح رغم تحقق الأرباح الصافية قد يتعارض مع حقوق المساهمين المحمية نظامًا ويُثير دعاوى الضغط والإساءة في إدارة الشركة خاصةً من المساهمين الأقلية.,نظام الشركات م/132 لعام 1443هـ يُحدد الحد الأدنى للاحتياطي النظامي وشروط التوزيع. المادة 131 تُنظّم توزيع الأرباح وتُقرّ حق المساهمين في نصيبهم. التقدير المطلق لمجلس الإدارة في الحجب يستلزم تقييدًا لحماية المساهمين الأقلية.,إضافة سياسة توزيع أرباح مكتوبة تُحدد الحد الأدنى لنسبة التوزيع من الأرباح الصافية بعد احتياطيات النظام مع اشتراط موافقة أغلبية المساهمين على أي قرار احتجاز استثنائي وليس المجلس منفردًا.,نظام الشركات م/132 لعام 1443هـ، المادة 131,no,ar,Finance,hypothetical,no,,draft
29,Franchise Agreement,Governing Law,The Franchisor grants the Franchisee the right to operate the franchise business in the Kingdom of Saudi Arabia under the brand and system of the Franchisor. يمنح المرخّص للمرخّص له حق تشغيل الامتياز التجاري في المملكة العربية السعودية.,low,Foreign franchise arrangements operating in Saudi Arabia may require MISA licensing or commercial registration depending on the structure. The absence of any reference to regulatory compliance with Saudi investment rules creates a compliance gap that can delay operations.,هيئة الاستثمار (مِسا) تشترط تسجيل الشركات والترتيبات الاستثمارية الأجنبية العاملة في المملكة. الامتياز التجاري من شركة أجنبية قد يستلزم تسجيل الاتفاقية أو الحصول على ترخيص استثماري تبعًا للهيكل القانوني المُعتمد.,Add a compliance clause requiring both parties to confirm that the franchise arrangement complies with MISA licensing requirements and applicable sector-specific regulations before commencing operations. Assign responsibility for maintaining regulatory compliance to the franchisee with franchisor oversight rights and audit access.,هيئة الاستثمار (مِسا) | نظام الشركات م/132 لعام 1443هـ,no,bilingual,Retail,hypothetical,no,,draft
30,Cloud Storage Agreement,Data Protection & Privacy,In the event of a security incident affecting client data the Service Provider shall notify the client within a reasonable timeframe. في حال وقوع حادثة أمنية تؤثر على بيانات العميل يُبلَّغ العميل في وقت مناسب.,critical,A reasonable timeframe notification standard does not meet the 72-hour mandatory notification requirement under PDPL. Vague language creates compliance risk for both parties as the client cannot notify SDAIA and affected data subjects within the statutory deadline.,المادة 20 من نظام حماية البيانات الشخصية م/19 لعام 1443هـ ولوائحه التنفيذية تُلزم مراقب البيانات بإخطار الهيئة السعودية للبيانات والذكاء الاصطناعي (سدايا) خلال 72 ساعة من اكتشاف الاختراق. التأخر يُعرّض الشركة لغرامات تصل إلى خمسة ملايين ريال.,Replace reasonable timeframe with explicit obligations: (1) notify the client within 24 hours of discovery (2) provide a full incident report within 72 hours (3) cooperate with client notification to SDAIA within the statutory 72-hour window (4) notify affected Saudi data subjects as directed by SDAIA (5) maintain a written incident response log accessible to the client.,نظام حماية البيانات الشخصية م/19 لعام 1443هـ، المادة 20 | لوائح سدايا التنفيذية,yes,bilingual,Technology,hypothetical,no,,draft
31,Employment Contract,Employment & Labor,يُحتسب بدل مكافأة نهاية الخدمة على أساس نصف شهر عن السنوات الخمس الأولى وشهر عن السنوات التالية من آخر أجر تقاضاه العامل.,high,احتساب مكافأة نهاية الخدمة بهذه الصيغة يخالف النظام الذي يُوجب أجر نصف شهر عن كل سنة من الخمس الأولى ثم أجر شهر كامل.,المادة 84 من نظام العمل م/51 تُحدد مكافأة نهاية الخدمة: أجر نصف شهر عن كل سنة من السنوات الخمس الأولى وأجر شهر عن كل سنة تالية. يُؤخذ الأجر الأخير أساساً للحساب.,تصحيح الصياغة إلى أجر نصف شهر عن كل سنة من السنوات الخمس الأولى وأجر شهر كامل عن كل سنة تالية وفق نص المادة 84.,نظام العمل السعودي م/51 لعام 1426هـ، المادة 84,yes,ar,General,hypothetical,no,من أكثر البنود خطأ في صياغة العقود,field_tested
32,Employment Contract,Employment & Labor,يحق لصاحب العمل تعديل واجبات الموظف ومكان عمله وراتبه منفرداً وفق مقتضيات العمل دون الحاجة لموافقة الموظف.,critical,الشرط يمنح صاحب العمل صلاحية تعديل العناصر الجوهرية للعقد بصورة انفرادية مطلقة دون رضى العامل. يُعد تعسفياً وباطلاً.,المادة 31 من نظام المعاملات المدنية م/191 تُعرِّف العقد بارتباط الإيجاب والقبول ولا تجيز تعديله انفرادياً. المادة 13 من نظام العمل تحظر اشتراط ما يخالف أحكام النظام.,تعديل البند بحيث يخضع أي تعديل في العناصر الجوهرية لموافقة كتابية من الموظف.,نظام المعاملات المدنية م/191 لعام 1443هـ، المادة 31 | نظام العمل م/51، المادة 13,yes,ar,General,hypothetical,no,يظهر بكثرة في عقود العمل بالقطاع الخاص,field_tested
33,Employment Contract,Employment & Labor,يجوز لصاحب العمل تشغيل العامل اثنتي عشرة ساعة يومياً في مواسم الذروة دون أجر إضافي عن الساعات الزائدة.,high,تشغيل العامل 12 ساعة يومياً دون أجر إضافي يتجاوز الحد الأقصى لساعات العمل ويسقط حق العامل في أجر الساعات الإضافية.,المادة 98 من نظام العمل م/51 تحدد ساعات العمل بـ8 ساعات يومياً. المادة 107 تُلزم بأجر إضافي عن ساعات العمل الإضافية بنسبة 50% من الأجر الأساسي.,تحديد ساعات العمل الأساسية بـ8 ساعات يومياً مع سقف 3 ساعات إضافية وبأجر 150%. النص على أن العمل الإضافي تطوعي غير إلزامي.,نظام العمل السعودي م/51، المادتان 98 و107,yes,ar,Retail,hypothetical,no,شائع في قطاع التجزئة والمطاعم خلال المواسم,field_tested
34,Employment Contract,Employment & Labor,يلتزم الموظف بعدم الالتحاق بأي عمل لدى أي جهة أخرى أثناء سريان العقد وفي أي قطاع كان.,medium,شرط عدم المنافسة أثناء سريان العقد واسع جداً وقد يشمل قطاعات لا تمت بصلة لنشاط صاحب العمل. نظام العمل يجيزه في حدود النشاط المباشر فقط.,المادة 83 من نظام العمل م/51 تجيز اشتراط عدم منافسة العامل لصاحب العمل أثناء سريان العقد ضمن نطاق نشاطه التنافسي المباشر.,تقييد المنع بالنشاط التجاري المباشر لصاحب العمل والقطاع الذي يعمل فيه الموظف تحديداً.,نظام العمل السعودي م/51، المادة 83,no,ar,Professional Services,hypothetical,no,توسيع نطاق المنع أثناء العقد يختلف عن المنع بعد انتهائه,field_tested
35,Lease Agreement,Payment Terms,يتحمل المستأجر جميع رسوم الخدمات والمرافق والصيانة الدورية والضرائب العقارية دون تحديد سقف أو آلية للتحقق منها.,high,تحميل المستأجر جميع رسوم المرافق والصيانة دون سقف ينشئ التزاماً مفتوحاً غير محدد القيمة يخالف مبدأ تحديد الالتزام.,نظام المعاملات المدنية م/191 يُشترط أن يكون محل الالتزام معيناً أو قابلاً للتعيين. الالتزام المفتوح دون سقف يُعد غرراً وقد يُبطل الشرط.,تحديد الخدمات والمرافق التي يتحملها المستأجر حصراً مع إعفائه من الصيانة الهيكلية والضرائب العقارية ووضع آلية للتحقق من الفواتير.,نظام المعاملات المدنية م/191 لعام 1443هـ — أحكام عقد الإجارة,yes,ar,Real Estate,hypothetical,no,ثغرة شائعة في عقود الإيجار التجاري المطولة,field_tested
36,Supply Agreement,Force Majeure,The Supplier shall not be relieved from its obligations for any reason including force majeure natural disasters or government actions unless expressly stated in a written amendment.,high,Excluding force majeure entirely from a supply agreement conflicts with Saudi civil law principles that recognise impossibility of performance due to external causes.,المادتان 173 و174 من نظام المعاملات المدنية م/191 تنصان على أن الالتزام ينقضي إذا استحال تنفيذه لسبب أجنبي لا يد للمدين فيه. استبعاد القوة القاهرة بالكلية مخالف للنظام العام.,Add a force majeure clause listing qualifying events with suspension effect. Include 5-day notice and renegotiation obligation if exceeding 30 days.,نظام المعاملات المدنية م/191 لعام 1443هـ، المادتان 173 و174,yes,en,Logistics,hypothetical,no,شائع في عقود التوريد الدولية حيث يحاول المشتري نقل المخاطر كاملة,field_tested
37,Supply Agreement,Warranties,All goods supplied must comply with the Suppliers internal quality standards as amended from time to time at the Suppliers sole discretion.,medium,Quality standards defined unilaterally and modifiable at the suppliers sole discretion create uncertainty. Saudi law requires contractual obligations to be sufficiently defined.,المادة 31 من نظام المعاملات المدنية م/191 تتطلب أن يكون محل العقد معيناً أو قابلاً للتعيين. معيار الجودة المتغير بإرادة طرف واحد يفتقر إلى التحديد الكافي.,Define quality by reference to published standards SASO ISO ASTM with a specific version. Changes require mutual written agreement. Add right to reject non-conforming goods.,نظام المعاملات المدنية م/191 لعام 1443هـ، المادة 31 | الهيئة السعودية للمواصفات والمقاييس SASO,no,en,Logistics,hypothetical,no,ذو صلة خاصة بعقود التوريد عبر الحدود,field_tested
38,Construction Contract,Payment Terms,The Employer shall release the retention money upon issuance of the Taking Over Certificate without specifying a deadline for issuance of the certificate itself.,high,The release of retention money is tied to a certificate whose issuance deadline is undefined. The contractor could face indefinite withholding.,نظام المعاملات المدنية م/191 يُقر مبدأ حسن تنفيذ العقود المادة 95. ربط استحقاق مبلغ مالي بشرط إجرائي غير محدد المدة يُعد تعسفاً.,تحديد مدة أقصى لإصدار شهادة الاستلام المبدئي 28 يوماً مع آلية إصدار تلقائي عند عدم رد صاحب العمل. ربط تحرير 50% من الحسم بالاستلام المبدئي.,نظام المعاملات المدنية م/191 لعام 1443هـ، المادة 95,yes,en,Construction,hypothetical,no,ممارسة شائعة في عقود الإنشاء تخل بتوازن الطرفين,field_tested
39,Construction Contract,Liability,The Contractor shall obtain and maintain such insurance as it deems appropriate for the execution of the works.,critical,Vesting sole discretion in the contractor to determine insurance coverage leaves the project owner exposed to uninsured losses.,نظام المنافسات والمشتريات الحكومية م/128 لعام 1440هـ يُلزم بتقديم وثائق تأمين محددة. غياب تحديد أنواع وحدود التغطية التأمينية يُعرّض المالك لخسائر غير مغطاة.,Specify minimum insurance: CAR for full reinstatement value third-party liability SAR 5M per occurrence workmen compensation. Owner named as co-insured.,نظام المنافسات والمشتريات الحكومية م/128 لعام 1440هـ,yes,en,Construction,hypothetical,no,غياب التأمين من أكثر الثغرات خطورة في عقود الإنشاء الخاصة,field_tested
40,Shareholder Agreement,Corporate Governance,Any shareholder may transfer its shares to any third party at any time provided the transfer price is paid in full to the transferring shareholder.,critical,Absence of pre-emption rights for existing shareholders on share transfers means a shareholder could sell to a competitor without existing shareholders opportunity to acquire first.,نظام الشركات م/132 لعام 1443هـ يُقر مبدأ حرية نقل الأسهم لكنه يُجيز اشتراط حق الشفعة في النظام الأساسي. غياب هذا الحق يُضعف حماية باقي الشركاء.,Add ROFR clause: selling shareholder must offer shares to existing shareholders pro rata at same price. Allow 30 days to accept. Tag-along rights for minority on transfers exceeding 50%.,نظام الشركات م/132 لعام 1443هـ,yes,en,Finance,hypothetical,no,أساسي لحماية استقرار هيكل الملكية في الشركات العائلية,field_tested
41,Shareholder Agreement,Corporate Governance,A director who has a conflict of interest in a matter before the board may vote on that matter if the director discloses the interest to the chairman orally before the vote.,high,Permitting a conflicted director to vote after mere oral disclosure provides insufficient protection. Saudi Companies Law requires conflicted directors to abstain from voting.,المادة 75 من نظام الشركات م/132 لعام 1443هـ تُلزم عضو مجلس الإدارة الذي له مصلحة بالإفصاح عنها والامتناع عن التصويت. يجب إثبات الإفصاح والامتناع في محضر الجلسة.,Require conflicted directors to declare in writing abstain from discussion and voting and have both recorded in board minutes. Transactions exceeding 5% of assets require independent approval.,نظام الشركات م/132 لعام 1443هـ، المادة 75,yes,en,Finance,hypothetical,no,حوكمة الشركات العائلية تحتاج هذا البند تحديداً,field_tested
42,Professional Services Agreement,Employment & Labor,For a period of two years after termination the Client shall not directly or indirectly solicit employ or engage any employee or contractor of the Service Provider.,medium,A broad non-solicitation clause covering all employees without limitation on role may be unenforceable. Saudi courts apply reasonableness standard to restrictive covenants.,المادة 83 من نظام العمل م/51 تجيز شروط عدم المنافسة والاستقطاب في حدود ضيقة. منع استقطاب أي موظف أو مقاول دون تحديد يخالف مبدأ المعقولية.,Limit non-solicitation to key personnel directly involved in the engagement. Restrict to 12 months. Exclude general job advertisements.,نظام العمل م/51، المادة 83 | نظام المعاملات المدنية م/191 لعام 1443هـ,no,en,Technology,hypothetical,no,يظهر في عقود الاستشارات وخدمات التعهيد,field_tested
43,Professional Services Agreement,Payment Terms,The Client shall pay invoices within thirty days of receipt. Any disputed amounts do not affect the obligation to pay the undisputed portion in full.,low,The obligation to pay even during a dispute favours the service provider disproportionately. Saudi courts may view payment during unresolved dispute as commercially imbalanced.,نظام المعاملات المدنية م/191 يُقر مبدأ حسن تنفيذ العقود. المادة 95 تُلزم الطرفين بالتعاون. يُنصح بآلية فض منازعات سريعة.,Add structured dispute mechanism: notify disputed items within 10 days pay undisputed in 30 days refer disputed to senior executive for resolution in 15 business days.,نظام المعاملات المدنية م/191 لعام 1443هـ، المادة 95,no,en,Technology,hypothetical,no,يفيد في عقود الخدمات الممتدة ويحفظ حقوق الطرفين,field_tested
44,Franchise Agreement,Governing Law,يمنح مانح الامتياز للممنوح حق استخدام العلامة التجارية في منطقة نفوذه التجارية داخل المملكة العربية السعودية.,high,مصطلح منطقة نفوذه التجارية غير معرف تعاقدياً مما يفتح الباب لنزاع حول حدود المنطقة الجغرافية الحصرية للممنوح.,المادة 31 من نظام المعاملات المدنية م/191 تتطلب تعيين محل العقد. نظام الامتياز التجاري يتطلب تحديد المنطقة الجغرافية بوضوح.,تحديد المنطقة الجغرافية الحصرية بدقة: أسماء المدن والأحياء مع النص على حصرية تامة خلال مدة العقد.,نظام المعاملات المدنية م/191 لعام 1443هـ، المادة 31 | نظام الامتياز التجاري وزارة التجارة,yes,ar,Retail,hypothetical,no,ثغرة خطيرة في عقود الامتياز التجاري الحديثة,field_tested
45,Franchise Agreement,Warranties,The Franchisor may update the operations manual and brand standards at any time and the Franchisee shall comply within thirty days at its own cost.,medium,Unilateral modification of operational standards with compliance at franchisee cost creates an open-ended financial obligation.,المادتان 31 و95 من نظام المعاملات المدنية م/191 تُشترطان تعيين محل الالتزام وحسن التنفيذ. إلزام الممنوح بتكاليف غير محددة لتغييرات أحادية يُعد إخلالاً بالتوازن العقدي.,Cap annual compliance upgrade costs at 10% of annual fees. Require cost estimate before any mandatory upgrade. Allow 90-day phase-in period.,نظام المعاملات المدنية م/191 لعام 1443هـ، المادتان 31 و95,no,ar,Retail,hypothetical,no,ممارسة معروفة في مجال الامتياز التجاري تحتاج موازنة,field_tested
